Chain,n,curv_mean,curv_median,curv_std,area_mean,area_median
C,19,0.3052644730137497,0.30671899200713726,0.012687113445138207,287.54868421052635,284.842
G,19,0.3104564211731217,0.30986997944941874,0.008555693118274442,286.6192105263158,283.789
F,14,0.30899534825781216,0.30872293557376257,0.007228905916368527,281.60214285714284,279.548
E,14,0.3100508114829373,0.3067568028176508,0.0087313880573678,283.7123571428571,277.1255
J,14,0.3096242301491751,0.30870754309372395,0.009992402183385743,277.5394285714286,277.735
I,14,0.3117836052984638,0.3112339825114623,0.010609647920769606,282.3985714285714,279.576
D,7,0.30569257916458864,0.3080446599972472,0.02330782034659302,286.3601428571429,280.123
H,7,0.3147853186356393,0.3110402177085268,0.011501988655716708,284.47028571428575,280.4
